date,aqi
1980-01-01,116
1980-01-07,113
1980-01-14,104
1980-01-21,107
1980-01-28,110
1980-02-04,90
1980-02-11,96
1980-02-18,91
1980-02-25,84
1980-03-03,76
1980-03-10,56
1980-03-17,61
1980-03-24,60
1980-03-31,60
1980-04-07,51
1980-04-14,41
1980-04-21,34
1980-04-28,38
1980-05-05,31
1980-05-12,24
1980-05-19,21
1980-05-26,28
1980-06-02,24
1980-06-09,14
1980-06-16,16
1980-06-23,21
1980-06-30,19
1980-07-07,31
1980-07-14,39
1980-07-21,29
1980-07-28,38
1980-08-04,47
1980-08-11,49
1980-08-18,47
1980-08-25,57
1980-09-01,67
1980-09-08,75
1980-09-15,76
1980-09-22,82
1980-09-29,96
1980-10-06,92
1980-10-13,93
1980-10-20,101
1980-10-27,110
1980-11-03,99
1980-11-10,115
1980-11-17,109
1980-11-24,123
1980-12-01,133
1980-12-08,120
1980-12-15,124
1980-12-22,122
1981-01-01,127
1981-01-05,110
1981-01-12,112
1981-01-19,109
1981-01-26,110
1981-02-02,99
1981-02-09,97
1981-02-16,100
1981-02-23,88
1981-03-02,84
1981-03-09,72
1981-03-16,65
1981-03-23,60
1981-03-30,57
1981-04-06,62
1981-04-13,43
1981-04-20,39
1981-04-27,35
1981-05-04,39
1981-05-11,22
1981-05-18,36
1981-05-25,31
1981-06-01,27
1981-06-08,29
1981-06-15,25
1981-06-22,23
1981-06-29,27
1981-07-06,20
1981-07-13,36
1981-07-20,26
1981-07-27,42
1981-08-03,47
1981-08-10,49
1981-08-17,55
1981-08-24,54
1981-08-31,53
1981-09-07,68
1981-09-14,84
1981-09-21,92
1981-09-28,80
1981-10-05,98
1981-10-12,95
1981-10-19,98
1981-10-26,101
1981-11-02,113
1981-11-09,116
1981-11-16,111
1981-11-23,125
1981-11-30,129
1981-12-07,131
1981-12-14,127
1981-12-21,124
1981-12-28,125
1982-01-04,127
1982-01-11,113
1982-01-18,113
1982-01-25,120
1982-02-01,104
1982-02-08,95
1982-02-15,94
1982-02-22,95
1982-03-01,69
1982-03-08,68
1982-03-15,65
1982-03-22,76
1982-03-29,62
1982-04-05,61
1982-04-12,44
1982-04-19,46
1982-04-26,45
1982-05-03,34
1982-05-10,37
1982-05-17,33
1982-05-24,27
1982-05-31,17
1982-06-07,26
1982-06-14,24
1982-06-21,32
1982-06-28,31
1982-07-05,26
1982-07-12,31
1982-07-19,45
1982-07-26,40
1982-08-02,51
1982-08-09,43
1982-08-16,60
1982-08-23,60
1982-08-30,66
1982-09-06,71
1982-09-13,75
1982-09-20,84
1982-09-27,84
1982-10-04,103
1982-10-11,87
