city,date,weather_satisfaction,air_quality_satisfaction
Karachi,1980-01-07,9,6
Karachi,1980-01-11,8,7
Karachi,1980-01-18,9,8
Karachi,1980-01-25,7,7
Karachi,1980-02-04,6,8
Karachi,1980-02-07,10,6
Karachi,1980-02-15,7,9
Karachi,1980-02-22,8,6
Karachi,1980-03-02,5,7
Karachi,1980-03-04,7,7
Karachi,1980-03-13,7,7
Karachi,1980-03-19,6,6
Karachi,1980-03-28,8,5
Karachi,1980-04-06,6,6
Karachi,1980-04-12,7,7
Karachi,1980-04-16,7,7
Karachi,1980-04-25,10,6
Karachi,1980-05-04,5,5
Karachi,1980-05-07,10,7
Karachi,1980-05-13,5,5
Karachi,1980-05-23,6,5
Karachi,1980-05-27,5,8
Karachi,1980-06-04,6,5
Karachi,1980-06-10,5,8
Karachi,1980-06-20,4,5
Karachi,1980-06-27,5,7
Karachi,1980-07-06,5,6
Karachi,1980-07-10,2,7
Karachi,1980-07-21,3,5
Karachi,1980-07-24,1,8
Karachi,1980-08-02,3,4
Karachi,1980-08-05,6,5
Karachi,1980-08-15,3,4
Karachi,1980-08-19,5,6
Karachi,1980-09-01,5,6
Karachi,1980-09-03,5,5
Karachi,1980-09-15,6,7
Karachi,1980-09-19,7,6
Karachi,1980-09-25,4,7
Karachi,1980-10-04,3,7
Karachi,1980-10-07,7,7
Karachi,1980-10-19,4,4
Karachi,1980-10-22,9,7
Karachi,1980-11-01,6,5
Karachi,1980-11-06,8,5
Karachi,1980-11-14,7,5
Karachi,1980-11-20,9,7
Karachi,1980-11-28,8,6
Karachi,1980-12-08,8,7
Karachi,1980-12-13,9,9
Karachi,1980-12-20,10,7
Karachi,1980-12-28,8,7
Karachi,1981-01-03,8,6
Karachi,1981-01-08,9,7
Karachi,1981-01-13,10,1
Karachi,1981-01-25,7,7
Karachi,1981-01-28,9,7
Karachi,1981-02-05,5,6
Karachi,1981-02-11,1,6
Karachi,1981-02-19,9,5
Karachi,1981-02-24,10,7
Karachi,1981-03-07,6,7
Karachi,1981-03-15,7,7
Karachi,1981-03-22,5,7
Karachi,1981-03-24,6,9
Karachi,1981-04-02,7,7
Karachi,1981-04-11,6,6
Karachi,1981-04-18,5,7
Karachi,1981-04-27,5,5
Karachi,1981-05-03,7,5
Karachi,1981-05-08,4,7
Karachi,1981-05-17,3,6
Karachi,1981-05-21,4,5
Karachi,1981-05-30,4,1
Karachi,1981-06-07,5,5
Karachi,1981-06-14,3,10
Karachi,1981-06-20,4,6
Karachi,1981-06-28,3,6
Karachi,1981-07-02,1,6
Karachi,1981-07-09,4,7
Karachi,1981-07-17,4,7
Karachi,1981-07-24,2,7
Karachi,1981-08-03,5,5
Karachi,1981-08-07,4,5
Karachi,1981-08-14,5,7
Karachi,1981-08-20,5,7
Karachi,1981-08-31,2,8
Karachi,1981-09-02,3,5
Karachi,1981-09-13,3,4
Karachi,1981-09-20,6,6
Karachi,1981-09-28,5,5
Karachi,1981-09-29,6,6
Karachi,1981-10-08,5,6
Karachi,1981-10-19,7,5
Karachi,1981-10-22,7,7
Karachi,1981-10-31,8,6
Karachi,1981-11-08,8,4
Karachi,1981-11-15,4,5
Karachi,1981-11-20,7,6
Karachi,1981-11-26,7,5
Karachi,1981-12-05,8,8
Karachi,1981-12-09,10,7
Karachi,1981-12-19,7,7
Karachi,1981-12-23,10,6
Karachi,1982-01-01,6,6
Karachi,1982-01-06,9,9
Karachi,1982-01-12,8,4
Karachi,1982-01-23,8,6
Karachi,1982-01-28,10,5
Karachi,1982-02-02,9,7
Karachi,1982-02-11,9,6
Karachi,1982-02-20,10,6
Karachi,1982-02-25,7,6
Karachi,1982-03-06,4,10
Karachi,1982-03-13,7,8
Karachi,1982-03-16,7,8
Karachi,1982-03-27,4,7
Karachi,1982-04-01,6,6
Karachi,1982-04-10,5,7
Karachi,1982-04-13,7,6
Karachi,1982-04-20,5,5
Karachi,1982-05-02,6,5
Karachi,1982-05-05,6,7
Karachi,1982-05-17,5,7
Karachi,1982-05-23,3,7
Karachi,1982-05-27,4,5
Karachi,1982-06-05,3,6
Karachi,1982-06-09,3,6
Karachi,1982-06-18,5,7
Karachi,1982-06-24,4,4
Karachi,1982-06-30,4,8
Karachi,1982-07-11,2,6
Karachi,1982-07-14,3,8
Karachi,1982-07-23,3,6
Karachi,1982-07-27,3,6
Karachi,1982-08-06,3,6
Karachi,1982-08-11,2,5
Karachi,1982-08-19,2,7
Karachi,1982-08-30,4,9
Karachi,1982-08-31,5,8
Karachi,1982-09-12,5,5
Karachi,1982-09-17,4,7
