date,aqi
1980-01-01,101
1980-01-07,96
1980-01-14,89
1980-01-21,80
1980-01-28,87
1980-02-04,90
1980-02-11,81
1980-02-18,78
1980-02-25,69
1980-03-03,51
1980-03-10,58
1980-03-17,54
1980-03-24,51
1980-03-31,49
1980-04-07,46
1980-04-14,39
1980-04-21,27
1980-04-28,27
1980-05-05,33
1980-05-12,19
1980-05-19,20
1980-05-26,23
1980-06-02,22
1980-06-09,21
1980-06-16,16
1980-06-23,14
1980-06-30,27
1980-07-07,16
1980-07-14,25
1980-07-21,40
1980-07-28,30
1980-08-04,34
1980-08-11,38
1980-08-18,56
1980-08-25,53
1980-09-01,57
1980-09-08,60
1980-09-15,61
1980-09-22,69
1980-09-29,72
1980-10-06,86
1980-10-13,82
1980-10-20,83
1980-10-27,82
1980-11-03,107
1980-11-10,96
1980-11-17,94
1980-11-24,98
1980-12-01,92
1980-12-08,104
1980-12-15,107
1980-12-22,105
1981-01-01,104
1981-01-05,89
1981-01-12,92
1981-01-19,88
1981-01-26,92
1981-02-02,75
1981-02-09,79
1981-02-16,71
1981-02-23,68
1981-03-02,63
1981-03-09,77
1981-03-16,53
1981-03-23,52
1981-03-30,52
1981-04-06,45
1981-04-13,51
1981-04-20,33
1981-04-27,37
1981-05-04,30
1981-05-11,29
1981-05-18,18
1981-05-25,15
1981-06-01,25
1981-06-08,25
1981-06-15,22
1981-06-22,20
1981-06-29,32
1981-07-06,29
1981-07-13,26
1981-07-20,33
1981-07-27,26
1981-08-03,38
1981-08-10,40
1981-08-17,46
1981-08-24,46
1981-08-31,60
1981-09-07,67
1981-09-14,65
1981-09-21,62
1981-09-28,76
1981-10-05,77
1981-10-12,80
1981-10-19,81
1981-10-26,92
1981-11-02,87
1981-11-09,89
1981-11-16,109
1981-11-23,102
1981-11-30,99
1981-12-07,91
1981-12-14,98
1981-12-21,105
1981-12-28,98
1982-01-04,97
1982-01-11,105
1982-01-18,93
1982-01-25,96
1982-02-01,87
1982-02-08,81
1982-02-15,74
1982-02-22,70
1982-03-01,64
1982-03-08,73
1982-03-15,51
1982-03-22,46
1982-03-29,49
1982-04-05,45
1982-04-12,35
1982-04-19,43
1982-04-26,40
1982-05-03,19
1982-05-10,23
1982-05-17,20
1982-05-24,26
1982-05-31,24
1982-06-07,26
1982-06-14,17
1982-06-21,28
1982-06-28,37
1982-07-05,24
1982-07-12,35
1982-07-19,35
1982-07-26,44
1982-08-02,46
1982-08-09,42
1982-08-16,38
1982-08-23,64
1982-08-30,56
1982-09-06,55
1982-09-13,69
1982-09-20,69
1982-09-27,66
1982-10-04,69
1982-10-11,87
1982-10-18,93
1982-10-25,84
1982-11-01,108
1982-11-08,104
1982-11-15,100
1982-11-22,95
1982-11-29,103
1982-12-06,102
1982-12-13,105
1982-12-20,108
1982-12-27,101
1982-01-01,92
1983-01-03,99
1983-01-10,97
1983-01-17,97
1983-01-24,93
1983-01-31,88
1983-02-07,96
1983-02-14,84
1983-02-21,78
1983-02-28,79
1983-03-07,60
1983-03-14,65
1983-03-21,63
1983-03-28,51
1983-04-04,37
1983-04-11,49
1983-04-18,34
1983-04-25,33
1983-05-02,26
1983-05-09,35
1983-05-16,25
1983-05-23,26
1983-05-30,25
1983-06-06,26
1983-06-13,24
1983-06-20,22
1983-06-27,32
1983-07-04,27
1983-07-11,26
1983-07-18,41
1983-07-25,41
1983-08-01,42
1983-08-08,33
1983-08-15,46
1983-08-22,44
1983-08-29,48
1983-09-05,66
1983-09-12,70
1983-09-19,69
1983-09-26,77
1983-10-03,84
1983-10-10,91
1983-10-17,95
1983-10-24,92
1983-10-31,92
1983-11-07,101
1983-11-14,105
1983-11-21,106
1983-11-28,97
1983-12-05,99
1983-12-12,101
1983-12-19,110
1983-01-01,106
1984-01-02,112
1984-01-09,94
1984-01-16,99
1984-01-23,91
1984-01-30,91
1984-02-06,85
1984-02-13,81
1984-02-20,64
1984-02-27,75
1984-03-05,75
1984-03-12,70
1984-03-19,58
1984-03-26,49
1984-04-02,46
1984-04-09,48
1984-04-16,27
1984-04-23,38
1984-04-30,32
1984-05-07,27
1984-05-14,36
1984-05-21,20
1984-05-28,28
1984-06-04,29
1984-06-11,31
1984-06-18,24
1984-06-25,30
1984-07-02,32
1984-07-09,25
1984-07-16,32
1984-07-23,44
1984-07-30,44
1984-08-06,39
1984-08-13,39
1984-08-20,55
1984-08-27,64
1984-09-03,64
1984-09-10,62
1984-09-17,75
1984-09-24,73
1984-10-01,73
1984-10-08,82
1984-10-15,88
1984-10-22,93
1984-10-29,100
1984-11-05,95
1984-11-12,103
1984-11-19,103
