city,date,weather_satisfaction,air_quality_satisfaction
Lahore,1980-01-02,8,3
Lahore,1980-01-11,5,2
Lahore,1980-01-17,6,1
Lahore,1980-01-26,6,1
Lahore,1980-02-02,8,2
Lahore,1980-02-10,8,2
Lahore,1980-02-15,6,4
Lahore,1980-02-19,7,2
Lahore,1980-03-02,8,3
Lahore,1980-03-10,8,3
Lahore,1980-03-16,8,3
Lahore,1980-03-18,9,5
Lahore,1980-03-25,8,4
Lahore,1980-04-03,9,5
Lahore,1980-04-08,9,3
Lahore,1980-04-18,8,5
Lahore,1980-04-27,7,3
Lahore,1980-04-29,8,4
Lahore,1980-05-11,7,4
Lahore,1980-05-13,6,5
Lahore,1980-05-21,4,4
Lahore,1980-06-02,5,4
Lahore,1980-06-07,2,4
Lahore,1980-06-11,5,5
Lahore,1980-06-21,3,4
Lahore,1980-06-27,3,7
Lahore,1980-07-03,3,7
Lahore,1980-07-08,4,8
Lahore,1980-07-16,2,3
Lahore,1980-07-28,3,3
Lahore,1980-07-29,4,7
Lahore,1980-08-11,5,7
Lahore,1980-08-12,5,7
Lahore,1980-08-19,4,7
Lahore,1980-08-30,3,4
Lahore,1980-09-07,7,3
Lahore,1980-09-12,8,6
Lahore,1980-09-17,4,4
Lahore,1980-09-25,6,4
Lahore,1980-09-30,6,4
Lahore,1980-10-13,7,3
Lahore,1980-10-20,6,1
Lahore,1980-10-21,5,1
Lahore,1980-10-30,8,10
Lahore,1980-11-09,7,2
Lahore,1980-11-15,4,3
Lahore,1980-11-22,6,2
Lahore,1980-11-26,7,1
Lahore,1980-12-07,5,1
Lahore,1980-12-09,6,1
Lahore,1980-12-22,6,5
Lahore,1980-12-25,7,3
Lahore,1981-01-02,9,3
Lahore,1981-01-07,6,3
Lahore,1981-01-13,7,2
Lahore,1981-01-24,6,2
Lahore,1981-02-02,6,4
Lahore,1981-02-03,8,5
Lahore,1981-02-14,7,1
Lahore,1981-02-22,7,4
Lahore,1981-02-24,7,3
Lahore,1981-03-08,8,5
Lahore,1981-03-11,8,6
Lahore,1981-03-19,8,3
Lahore,1981-03-26,9,3
Lahore,1981-04-05,8,6
Lahore,1981-04-11,8,5
Lahore,1981-04-17,8,7
Lahore,1981-04-23,9,4
Lahore,1981-04-30,9,4
Lahore,1981-05-11,6,6
Lahore,1981-05-13,7,7
Lahore,1981-05-19,6,7
Lahore,1981-05-30,5,6
Lahore,1981-06-02,3,4
Lahore,1981-06-14,3,4
Lahore,1981-06-17,5,5
Lahore,1981-06-29,3,6
Lahore,1981-06-30,4,7
Lahore,1981-07-10,5,5
Lahore,1981-07-19,4,5
Lahore,1981-07-26,5,4
Lahore,1981-08-02,6,6
Lahore,1981-08-09,4,4
Lahore,1981-08-16,3,6
Lahore,1981-08-20,4,4
Lahore,1981-08-27,5,4
Lahore,1981-09-04,7,8
Lahore,1981-09-12,6,3
Lahore,1981-09-21,5,4
Lahore,1981-09-27,8,2
Lahore,1981-10-01,7,3
Lahore,1981-10-10,5,4
Lahore,1981-10-18,8,2
Lahore,1981-10-25,6,3
Lahore,1981-10-31,7,4
Lahore,1981-11-09,5,1
Lahore,1981-11-11,4,1
Lahore,1981-11-23,4,2
Lahore,1981-11-28,6,2
Lahore,1981-12-01,4,10
Lahore,1981-12-10,7,2
Lahore,1981-12-15,5,1
Lahore,1981-12-26,7,2
Lahore,1982-01-01,5,1
Lahore,1982-01-10,6,4
Lahore,1982-01-18,5,4
Lahore,1982-01-20,5,2
Lahore,1982-01-29,7,1
Lahore,1982-02-07,6,3
Lahore,1982-02-10,7,3
Lahore,1982-02-18,6,3
Lahore,1982-02-23,5,4
Lahore,1982-03-06,8,4
Lahore,1982-03-12,6,4
Lahore,1982-03-16,7,5
Lahore,1982-03-23,8,3
Lahore,1982-04-02,6,4
Lahore,1982-04-09,7,6
Lahore,1982-04-16,8,5
Lahore,1982-04-23,7,4
Lahore,1982-05-02,7,7
Lahore,1982-05-06,5,2
Lahore,1982-05-12,1,4
Lahore,1982-05-21,5,5
Lahore,1982-05-31,6,5
Lahore,1982-06-01,6,5
Lahore,1982-06-11,5,6
Lahore,1982-06-20,6,3
Lahore,1982-06-26,3,6
Lahore,1982-06-29,1,4
Lahore,1982-07-10,5,7
Lahore,1982-07-18,3,6
Lahore,1982-07-21,3,6
Lahore,1982-07-31,5,5
Lahore,1982-08-09,6,6
Lahore,1982-08-12,5,4
Lahore,1982-08-20,4,4
Lahore,1982-08-30,5,4
Lahore,1982-09-03,7,3
Lahore,1982-09-12,5,4
Lahore,1982-09-19,7,4
Lahore,1982-09-23,6,4
Lahore,1982-10-03,6,3
Lahore,1982-10-11,6,3
Lahore,1982-10-12,8,3
Lahore,1982-10-24,6,1
Lahore,1982-10-30,8,5
Lahore,1982-11-04,6,4
Lahore,1982-11-10,6,1
Lahore,1982-11-21,4,2
Lahore,1982-11-25,9,1
Lahore,1982-12-04,5,3
Lahore,1982-12-12,7,3
Lahore,1982-12-15,4,4
Lahore,1982-12-21,2,4
Lahore,1982-12-31,4,1
Lahore,1983-01-04,7,1
Lahore,1983-01-15,6,4
Lahore,1983-01-22,7,2
Lahore,1983-01-28,9,1
Lahore,1983-02-03,8,1
Lahore,1983-02-12,7,3
Lahore,1983-02-15,7,3
Lahore,1983-02-24,5,1
Lahore,1983-03-06,7,5
Lahore,1983-03-14,9,5
Lahore,1983-03-17,9,7
Lahore,1983-03-23,7,3
Lahore,1983-03-31,7,4
Lahore,1983-04-11,7,5
Lahore,1983-04-17,7,7
Lahore,1983-04-22,9,5
Lahore,1983-04-30,8,5
Lahore,1983-05-09,6,5
Lahore,1983-05-10,8,4
Lahore,1983-05-23,3,6
Lahore,1983-05-30,6,6
Lahore,1983-05-31,6,5
Lahore,1983-06-09,4,3
Lahore,1983-06-17,6,5
Lahore,1983-06-22,3,4
Lahore,1983-06-30,4,5
Lahore,1983-07-06,3,6
Lahore,1983-07-17,2,6
Lahore,1983-07-21,4,4
Lahore,1983-07-28,3,6
Lahore,1983-08-06,5,5
Lahore,1983-08-15,4,6
Lahore,1983-08-17,6,7
Lahore,1983-08-27,5,1
Lahore,1983-08-30,3,4
Lahore,1983-09-08,6,1
Lahore,1983-09-16,5,4
Lahore,1983-09-24,7,5
Lahore,1983-09-29,6,7
Lahore,1983-10-07,5,4
Lahore,1983-10-13,8,3
Lahore,1983-10-21,6,4
Lahore,1983-10-26,7,1
Lahore,1983-11-07,5,2
Lahore,1983-11-08,8,1
Lahore,1983-11-15,6,3
Lahore,1983-11-25,6,4
Lahore,1983-12-02,1,2
Lahore,1983-12-07,5,1
Lahore,1983-12-14,6,1
Lahore,1983-12-22,7,2
Lahore,1983-12-28,6,3
Lahore,1984-01-08,6,1
Lahore,1984-01-11,6,1
Lahore,1984-01-21,5,1
Lahore,1984-01-27,4,1
Lahore,1984-02-01,9,4
Lahore,1984-02-11,8,4
Lahore,1984-02-14,7,3
Lahore,1984-02-26,6,3
Lahore,1984-03-04,8,3
Lahore,1984-03-10,8,3
Lahore,1984-03-13,9,3
Lahore,1984-03-22,7,5
Lahore,1984-04-01,9,7
Lahore,1984-04-06,8,4
Lahore,1984-04-15,10,5
Lahore,1984-04-17,7,5
Lahore,1984-04-28,10,5
Lahore,1984-05-07,4,6
Lahore,1984-05-08,4,5
Lahore,1984-05-20,4,6
Lahore,1984-05-26,7,6
Lahore,1984-06-04,3,4
Lahore,1984-06-08,3,5
Lahore,1984-06-15,3,3
Lahore,1984-06-24,6,3
Lahore,1984-06-30,6,4
Lahore,1984-07-03,5,5
Lahore,1984-07-15,4,3
Lahore,1984-07-22,2,6
Lahore,1984-07-29,6,6
Lahore,1984-08-01,5,6
Lahore,1984-08-08,4,6
Lahore,1984-08-14,5,6
Lahore,1984-08-23,3,6
Lahore,1984-08-30,5,5
Lahore,1984-09-05,6,7
Lahore,1984-09-12,6,2
Lahore,1984-09-24,5,5
Lahore,1984-09-28,6,6
Lahore,1984-10-08,9,4
Lahore,1984-10-14,7,2
Lahore,1984-10-19,5,3
Lahore,1984-10-23,5,1
Lahore,1984-11-04,8,1
Lahore,1984-11-12,6,3
Lahore,1984-11-18,5,1
Lahore,1984-11-20,3,1
Lahore,1984-12-02,5,2
Lahore,1984-12-05,1,1
Lahore,1984-12-13,3,1
Lahore,1984-12-24,4,1
Lahore,1984-12-29,6,1
Lahore,1985-01-07,6,2
Lahore,1985-01-12,5,1
Lahore,1985-01-20,6,2
Lahore,1985-01-22,5,3
