#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T17:16:00Z,3,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T17:56:00Z,7,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T18:36:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T18:44:00Z,2,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T18:56:00Z,6,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T19:28:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T19:32:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T19:36:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T19:40:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T19:52:00Z,2,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T20:12:00Z,4,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T20:16:00Z,3,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T20:28:00Z,3,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T20:52:00Z,1,_value,AirQuality
,,0,2025-08-24T13:21:55.324559034Z,2025-08-25T13:21:55.324559034Z,2025-08-24T20:56:00Z,1,_value,AirQuality
