#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:20:00Z,8.23,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:28:00Z,7.78,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:32:00Z,7.78,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:40:00Z,7.78,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T17:52:00Z,8.07,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:00:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:12:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:20:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:32:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:40:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T18:52:00Z,8.03,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:00:00Z,8.07,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:12:00Z,7.71,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:20:00Z,7.71,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:32:00Z,7.92,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:40:00Z,7.92,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T19:52:00Z,7.92,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:12:00Z,8.22,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:20:00Z,8.14,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:32:00Z,8.16,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:40:00Z,8.17,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T20:52:00Z,6.98,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:00:00Z,6.98,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:12:00Z,7.65,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:20:00Z,7.88,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:32:00Z,7.95,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:40:00Z,8.11,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T21:52:00Z,8.34,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:00:00Z,8.34,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:12:00Z,8.22,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:20:00Z,8.22,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:32:00Z,8.23,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:40:00Z,6.71,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T22:52:00Z,6.71,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T23:00:00Z,6.98,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-24T23:12:00Z,6.98,_value,AQI
