#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T16:44:00Z,22.19,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T16:52:00Z,22.19,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T16:56:00Z,22.19,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T17:28:00Z,22.16,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T17:40:00Z,20.38,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T17:52:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:00:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:12:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:20:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:32:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:40:00Z,20.45,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T18:52:00Z,20.63,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T19:00:00Z,21.82,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T19:12:00Z,21.83,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T19:20:00Z,21.83,_value,Temperature
,,0,2025-08-24T13:23:16.833735725Z,2025-08-25T13:23:16.833735725Z,2025-08-24T19:32:00Z,21.83,_value,Temperature
