#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T17:12:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T17:52:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T18:20:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T18:52:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T19:20:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T19:52:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T20:16:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T20:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T21:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T21:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T22:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T22:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T23:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-24T23:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T00:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T00:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T01:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T01:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T02:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T02:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T03:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T03:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T04:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T04:32:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T05:00:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T06:28:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T08:44:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T09:44:00Z,161,_value,AQI
,,0,2025-08-24T13:23:58.472839554Z,2025-08-25T13:23:58.472839554Z,2025-08-25T13:00:00Z,161,_value,AQI

