#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T16:56:00Z,6,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T17:24:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T17:40:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:04:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:08:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:20:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:24:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:28:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:32:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:40:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:52:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T19:12:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T19:24:00Z,9,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T19:48:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T20:40:00Z,7,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T20:48:00Z,5,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T21:08:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T21:12:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T21:16:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T21:44:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T21:52:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:00:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:04:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:08:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:12:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:36:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:40:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:44:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T22:56:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T23:00:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T23:08:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T23:12:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T23:56:00Z,6,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T00:04:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T00:20:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T00:36:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T00:52:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T00:56:00Z,8,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:04:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:16:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:20:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:24:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:44:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T01:48:00Z,6,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:12:00Z,6,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:16:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:20:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:32:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:36:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:48:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T02:52:00Z,7,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:04:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:28:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:32:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:36:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:44:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T03:48:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:04:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:08:00Z,5,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:16:00Z,4,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:24:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:28:00Z,5,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:32:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T04:44:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T05:00:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T05:20:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T07:20:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T07:28:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T07:44:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T08:00:00Z,10,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T08:12:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T08:28:00Z,9,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T08:48:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T09:16:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T09:24:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T09:44:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T09:48:00Z,8,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T09:52:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T10:04:00Z,3,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T10:28:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T11:56:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T12:08:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T12:24:00Z,1,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T12:40:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T13:04:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T13:08:00Z,2,_value,AirQuality
,,0,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-25T13:16:00Z,2,_value,AirQuality
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T16:56:00Z,1,_value,Weather
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T17:24:00Z,1,_value,Weather
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T17:40:00Z,1,_value,Weather
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:04:00Z,3,_value,Weather
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:08:00Z,3,_value,Weather
,,1,2025-08-24T13:24:12.701460921Z,2025-08-25T13:24:12.701460921Z,2025-08-24T18:20:00Z,2,_value,Weather
