#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T17:20:00Z,6.1,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T17:32:00Z,5.6,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T17:44:00Z,5.53,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T17:52:00Z,4.95,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:04:00Z,4.95,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:12:00Z,4.95,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:24:00Z,4.95,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:32:00Z,4.95,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:44:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T18:52:00Z,5.16,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:04:00Z,5.16,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:12:00Z,4.96,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:24:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:32:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:44:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T19:52:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T20:12:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T20:24:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T20:32:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T20:44:00Z,4.89,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T20:52:00Z,5.33,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:04:00Z,5.29,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:12:00Z,5.29,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:24:00Z,5.29,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:32:00Z,5.29,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:44:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T21:52:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:04:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:12:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:24:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:32:00Z,4.61,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:44:00Z,5.43,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T22:52:00Z,5.43,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T23:04:00Z,5.43,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T23:12:00Z,5.43,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T23:24:00Z,5.43,_value,AQI
,,0,2025-08-24T13:24:28.574498431Z,2025-08-25T13:24:28.574498431Z,2025-08-24T23:32:00Z,5.43,_value,AQI
