#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T16:44:00Z,27.6,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T16:56:00Z,27.6,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T17:28:00Z,27.600000000000005,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T17:40:00Z,27.41,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T17:52:00Z,27.41,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T18:00:00Z,27.41,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T18:12:00Z,27.41,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T18:32:00Z,27.41,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T18:40:00Z,27.26,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T19:00:00Z,27.26,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T19:12:00Z,27.3,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T19:32:00Z,27.3,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T19:40:00Z,27.31,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T20:12:00Z,27.31,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T20:20:00Z,27.31,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T20:40:00Z,27.31,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T20:52:00Z,27.13,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T21:12:00Z,27.13,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T21:20:00Z,27.13,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T21:40:00Z,27.04,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T21:52:00Z,27.04,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T22:12:00Z,27.04,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T22:20:00Z,27.04,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T22:40:00Z,27.06,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T22:52:00Z,27.06,_value,Temperature
,,0,2025-08-24T13:24:43.80422242Z,2025-08-25T13:24:43.80422242Z,2025-08-24T23:12:00Z,27.06,_value,Temperature
