#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:28:00Z,1,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:32:00Z,3,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:36:00Z,3,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:44:00Z,3,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:48:00Z,3,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T17:52:00Z,1,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T18:00:00Z,2,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T18:12:00Z,2,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T18:16:00Z,1,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T18:48:00Z,1,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T19:00:00Z,2,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T19:04:00Z,8,_value,AirQuality
,,0,2025-08-24T13:25:11.35192935Z,2025-08-25T13:25:11.35192935Z,2025-08-24T19:08:00Z,6,_value,AirQuality
