#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T17:20:00Z,5.8,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T17:32:00Z,4.98,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T17:40:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T17:52:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:00:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:12:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:20:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:32:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:40:00Z,4.99,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T18:52:00Z,4.87,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:00:00Z,4.88,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:12:00Z,4.61,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:20:00Z,3.67,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:32:00Z,3.67,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:40:00Z,3.69,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T19:52:00Z,4.75,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T20:12:00Z,4.75,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T20:20:00Z,4.48,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T20:32:00Z,3.08,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T20:40:00Z,3.08,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T20:52:00Z,4.61,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:00:00Z,3.29,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:12:00Z,3.29,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:20:00Z,4.88,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:32:00Z,4.88,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:40:00Z,4.89,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T21:52:00Z,5.18,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:00:00Z,5.42,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:12:00Z,5.42,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:20:00Z,5.42,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:32:00Z,4.07,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:40:00Z,4.97,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T22:52:00Z,4.95,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:00:00Z,4.95,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:12:00Z,4.95,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:20:00Z,4.95,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:32:00Z,4.98,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:40:00Z,5.51,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-24T23:52:00Z,5.06,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:00:00Z,5.06,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:12:00Z,5.06,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:20:00Z,5.06,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:32:00Z,5.06,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:40:00Z,4.84,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T00:52:00Z,4.69,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:00:00Z,4.76,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:12:00Z,4.73,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:20:00Z,4.73,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:32:00Z,4.76,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:40:00Z,4.85,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T01:52:00Z,4.84,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T02:00:00Z,4.84,_value,AQI
,,0,2025-08-24T13:25:29.797480728Z,2025-08-25T13:25:29.797480728Z,2025-08-25T02:12:00Z,4.8,_value,AQI
