#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T16:44:00Z,23.81,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T16:52:00Z,24.13,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T16:56:00Z,24.13,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T17:28:00Z,24.06,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T17:40:00Z,24.53,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:00:00Z,24.53,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:12:00Z,24.53,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:20:00Z,24.53,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:32:00Z,24.53,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:40:00Z,24.55,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T18:52:00Z,24.55,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:00:00Z,24.89,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:12:00Z,24.91,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:20:00Z,24.91,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:32:00Z,24.9,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:40:00Z,25.02,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T19:52:00Z,25.02,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T20:12:00Z,25.01,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T20:20:00Z,25.01,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T20:32:00Z,25.01,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T20:40:00Z,24.99,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T20:52:00Z,24.71,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:00:00Z,24.7,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:12:00Z,24.71,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:20:00Z,24.71,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:32:00Z,24.71,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:40:00Z,24.71,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T21:52:00Z,24.58,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T22:00:00Z,24.58,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T22:12:00Z,24.58,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T22:20:00Z,24.57,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T22:32:00Z,24.57,_value,Temperature
,,0,2025-08-24T13:25:45.286538696Z,2025-08-25T13:25:45.286538696Z,2025-08-24T22:40:00Z,24.41,_value,Temperature
